Tweet Link,Date,Price @ close,Price @ open,Daily Difference,High,Low
https://twitter.com/ryancohen/status/1336775515101949963,12/9/2020,$13.66,$13.92,$0.26,$14.73,$13.23
https://twitter.com/ryancohen/status/1344687817998401537,12/31/2020,$18.84,$19.25,$0.41,$19.80,$28.80
https://twitter.com/ryancohen/status/1346943412663177218,1/6/2021,$18.36,$17.34,-$1.02,$18.98,$17.33
https://twitter.com/ryancohen/status/1350877969816956934,1/17/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1364650709669601289,2/24/2021,$91.71,$44.70,-$47.01,$91.71,$44.70
https://twitter.com/ryancohen/status/1367555194196787206,3/4/2021,$132.35,$125.00,-$7.35,$147.87,$115.30
https://twitter.com/ryancohen/status/1370136976666595331,3/11/2021,$260.00,$241.64,-$18.36,$281.50,$232.60
https://twitter.com/ryancohen/status/1372270634374467587,3/17/2021,$209.81,$217.84,$8.03,$231.47,$204.00
https://twitter.com/ryancohen/status/1375159657166209031,3/25/2021,$183.75,$123.49,-$60.26,$187.50,$116.90
https://twitter.com/ryancohen/status/1380212953748676608,4/8/2021,$170.26,$185.88,$15.62,$185.88,$164.30
https://twitter.com/ryancohen/status/1381829698263654401,4/12/2021,$141.09,$158.11,$17.02,$163.90,$135.05
https://twitter.com/ryancohen/status/1383204653630914563,4/16/2021,$154.69,$156.00,$1.31,$160.20,$151.25
https://twitter.com/ryancohen/status/1384616641087086596,4/20/2021,$158.53,$164.14,$5.61,$164.89,$153.36
https://twitter.com/ryancohen/status/1385989779129503746,4/24/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1386485746916380673,4/25/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1387822832558788614,4/29/2021,$176.19,$176.56,$0.37,$180.86,$170.75
https://twitter.com/ryancohen/status/1392649234944507906,5/12/2021,$144.79,$145.70,$0.91,$150.50,$142.23
https://twitter.com/ryancohen/status/1394482434171973634,5/17/2021,$180.60,$159.85,-$20.75,$182.50,$159.00
https://twitter.com/ryancohen/status/1395047208748261379,5/19/2021,$168.83,$171.99,$3.16,$178.98,$164.15
https://twitter.com/ryancohen/status/1397047791889879041,5/24/2021,$180.01,$175.85,-$4.16,$188.46,$173.35
https://twitter.com/ryancohen/status/1398454505314959361,5/28/2021,$222.00,$262.97,$40.97,$268.80,$221.43
https://twitter.com/ryancohen/status/1399526466770059268,5/31/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1400492465442811904,6/3/2021,$258.18,$265.71,$7.53,$274.43,$242.12
https://twitter.com/ryancohen/status/1406678556436877315,6/20/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1407896835096678402,6/23/2021,$219.34,$221.45,$2.11,$222.57,$213.12
https://twitter.com/ryancohen/status/1410398196610723842,6/30/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1411737540210561036,7/4/2021,-,-,-,-,-
https://twitter.com/ryancohen/status/1413223954387406851,7/8/2021,$191.38,$179.83,-$11.55,$194.22,$179.50
https://twitter.com/ryancohen/status/1413669955984236545,7/9/2021,$191.23,$179.83,-$11.40,$194.78,$186.75
https://twitter.com/ryancohen/status/1417315406272864258,7/19/2021,$173.49,$163.30,-$10.19,$176.00,$161.22
https://twitter.com/ryancohen/status/1418751218566918146,7/23/2021,$180.36,$181.00,$0.64,$181.60,$173.84
https://twitter.com/ryancohen/status/1420411942846361612,7/28/2021,$169.12,$175.72,$6.60,$177.12,$164.27
https://twitter.com/ryancohen/status/1420940035042414595,7/29/2021,$164.86,$170.60,$5.74,$173.89,$164.51
https://twitter.com/ryancohen/status/1423766191311519747,8/6/2021,$151.77,$154.59,$2.82,$156.50,$150.31
https://twitter.com/ryancohen/status/1425606429574979584,8/11/2021,$158.70,$158.43,-$0.27,$159.05,$154.62
https://twitter.com/ryancohen/status/1428518642937892868,8/19/2021,$152.90,$156.77,$3.87,$157.99,$150.78
https://twitter.com/ryancohen/status/1431433651414306825,8/27/2021,$204.95,$207.70,$2.75,$213.00,$200.02
https://twitter.com/ryancohen/status/1442208550600671232,9/26/2021,-,-,-,-,-
