DATE,RRPONTSYD
2021-05-03,129.724
2021-05-04,147.806
2021-05-05,162.8
2021-05-06,154.921
2021-05-07,161.856
2021-05-10,175.548
2021-05-11,181.753
2021-05-12,209.257
2021-05-13,235.217
2021-05-14,241.185
2021-05-17,208.96
2021-05-18,243.47
2021-05-19,293.998
2021-05-20,351.121
2021-05-21,369.046
2021-05-24,394.941
2021-05-25,432.955
2021-05-26,450.283
2021-05-27,485.329
2021-05-28,479.498
2021-05-31,.
2021-06-01,447.985
2021-06-02,438.778
2021-06-03,479.102
2021-06-04,483.349
2021-06-07,486.097
2021-06-08,497.428
2021-06-09,502.904
2021-06-10,534.943
2021-06-11,547.808
2021-06-14,583.892
2021-06-15,509.559
2021-06-16,520.942
2021-06-17,755.8
2021-06-18,747.121
2021-06-21,765.141
2021-06-22,791.605
2021-06-23,813.65
2021-06-24,813.048
2021-06-25,770.83
2021-06-28,803.019
2021-06-29,841.246
2021-06-30,991.939
2021-07-01,742.647
2021-07-02,731.504
2021-07-05,.
2021-07-06,772.581
2021-07-07,785.72
2021-07-08,793.399
2021-07-09,780.596
2021-07-12,776.472
2021-07-13,798.267
2021-07-14,859.975
2021-07-15,776.261
2021-07-16,817.566
2021-07-19,860.468
2021-07-20,848.102
2021-07-21,886.206
2021-07-22,898.197
2021-07-23,877.251
2021-07-26,891.203
2021-07-27,927.419
2021-07-28,965.189
2021-07-29,987.283
2021-07-30,1039.394
2021-08-02,921.317
2021-08-03,909.442
2021-08-04,931.755
2021-08-05,944.335
2021-08-06,952.134
2021-08-09,981.765
2021-08-10,998.654
2021-08-11,1000.46
2021-08-12,1087.342
2021-08-13,1050.941
2021-08-16,1036.418
2021-08-17,1053.454
2021-08-18,1115.656
2021-08-19,1109.938
2021-08-20,1111.905
2021-08-23,1135.697
2021-08-24,1129.737
2021-08-25,1147.089
2021-08-26,1091.792
2021-08-27,1120.015
2021-08-30,1140.711
2021-08-31,1189.616
2021-09-01,1084.115
2021-09-02,1066.987
2021-09-03,1074.707
2021-09-06,.
2021-09-07,1079.945
2021-09-08,1115.229
2021-09-09,1107.659
2021-09-10,1099.323
2021-09-13,1087.108
2021-09-14,1169.28
2021-09-15,1081.342
2021-09-16,1147.494
2021-09-17,1218.303
2021-09-20,1224.289
2021-09-21,1240.494
2021-09-22,1283.281
2021-09-23,1352.483
2021-09-24,1313.657
2021-09-27,1297.05
