Date,Price @ close,Price @ open,Daily Difference,High,Low
11/20/2020,$12.71,$12.55,-$0.16,$13.46,$12.54
11/24/2020,$13.67,$14.23,$0.56,$14.26,$13.30
11/30/2020,$16.56,$18.17,$1.61,$19.42,$16.56
12/8/2020,$16.94,$16.37,-$0.57,$17.21,$15.93
1/11/2021,$19.94,$19.41,-$0.53,$20.65,$19.01
1/28/2021,$58.82,$265.00,$206.18,$483.00,$112.25
2/3/2021,$92.41,$112.01,$19.60,$113.40,$85.25
2/23/2021,$44.97,$44.97,$0.00,$46.23,$40.00
3/8/2021,$194.50,$154.89,-$39.61,$210.87,$146.10
3/9/2021,$246.90,$217.71,-$29.19,$249.85,$208.51
3/23/2021,$181.75,$197.50,$15.75,$201.75,$177.55
3/30/2021,$194.46,$187.50,-$6.96,$204.30,$182.00
4/5/2021,$186.95,$171.00,-$15.95,$195.00,$164.81
4/8/2021,$170.26,$185.88,$15.62,$185.88,$164.30
4/13/2021,$140.99,$141.88,$0.89,$145.38,$132.00
4/19/2021,$164.37,$171.80,$7.43,$175.20,$162.33
4/26/2021,$168.93,$150.89,-$18.04,$174.68,$148.76
5/3/2021,$162.20,$177.49,$15.29,$177.49,$159.61
5/25/2021,$209.43,$181.00,-$28.43,$217.11,$181.00
6/2/2021,$282.24,$248.88,-$33.36,$294.00,$244.30
6/9/2021,$302.56,$303.12,$0.56,$328.00,$291.51
6/21/2021,$200.37,$216.95,$16.58,$218.40,$197.00
6/22/2021,$220.40,$217.73,-$2.67,$225.88,$209.17
7/6/2021,$199.56,$204.00,$4.44,$204.77,$193.71
7/28/2021,$169.12,$175.72,$6.60,$177.12,$164.27
8/25/2021,$199.65,$206.65,$7.00,$227.00,$193.00
9/8/2021,$198.80,$201.86,$3.06,$206.88,$190.68
9/20/2021,$192.20,$200.00,$7.80,$202.85,$184.55
